"Reference","Datasheet","Qty","DNP","Type","Vendor","Vendor #","_Value_","Description"
"L3","https://www.coilcraft.com/getmedia/97b6ad34-63ed-485c-a3ac-2a258e22c8ff/mintrans.pdf","1","","Transformer","Coilcraft","Q4470-CL","Q4470-CL","miniature transformers were developed for use with"
"M2","https://www.pololu.com/product/2858","1","","Module","Pololu Robotics & Electronics","D24V22F5","D24V22F5","DCDC Regulator Module 24-36V IN 5VDC OUT"
"M3","https://www.pololu.com/product/2857","1","","Module","Pololu Robotics & Electronics","D24V22F5","D24V22F3","DCDC Regulator Module 24-36V IN 3.3VDC OUT"
"R1,R2,R3,R4,R6,R7","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","6","","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","1K","kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R5,R11","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","2","","Thick FIlm Resistor","Digikey","311-10.0KLRCT-ND","10K","10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R8,R9,R10,R12,R13,R14,R15,R16,R19,R41,R42","","11","","SMT Chip Resistor","Digikey","311-470HRCT-ND","470r","RES SMD 470 OHM 1% 1/10W 0603"
"R17,R43","","2","","SMT Chip Resistor","Digikey","311-1.00MFRCT-ND","1M","RES SMD 1M OHM 1% 1/4W 1206"
"R18,R22","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","2","","Resistor","Digikey","311-22.0LRTR-ND","22R","22 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R20,R21","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","2","","Resistor ","Digikey","311-2.20KHRTR-ND","2.2K","2.2 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film"
"R28,R29,R30,R31,R32,R33,R34,R35,R36,R37","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","10","","Resistor","Digikey","311-2.20KLRTR-ND","2.2K","2.2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"
"R38","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_7.pdf","1","","Thick Film Resistor","Digikey","YAG3440CT-ND","120R","120 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"
"R39,R40","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","2","","Resistor","Digikey","YAG4498TR-ND","1M","RES SMD 1M OHM 0.1% 1/10W 0603"
"SW1","https://www.ckswitches.com/media/2779/pts636.pdf","1","","Mechanical Switch","Digikey","CKN12310-2-ND","PTS636 SM43 SMTR LFS","Tactile Switch SPST-NO Top Actuated Surface Mount"
"U1","https://www.st.com/resource/en/datasheet/stm32f446ve.pdf","1","","","","","",""
"U4","https://www.analog.com/media/en/technical-documentation/data-sheets/max3535e-mxl1535e.pdf","1","","Integrated Circuit","Digikey","MAX3535ECWI+TTR-ND","MAX3535ECWI+T","1/1 Transceiver Full RS422, RS485 28-SOIC"
"X1","https://abracon.com/Resonators/abm3b.pdf","1","","Crystal Oscillator","Digikey","535-9720-2-ND","8MHZ","8MHz ±20ppm Crystal 18pF 200 Ohms 4-SMD, No Lead"
"X2","https://abracon.com/Resonators/ABS07.pdf","1","","Crystal Oscillator","Digikey","535-9544-1-ND","32.7680KHZ","32.768kHz ±20ppm Crystal 9pF 70 kOhms 2-SMD, No Lead"
